id,workout_type,elapsed_time,average_watts,max_watts,weighted_average_watts,kilojoules,gear_id,pr_count,suffer_score,device_name,location_city,location_state,achievement_count,kudos_count,strain,calories
12196659527,30.0,5681,,,,,,0,,,,,0,0,,
12183397662,30.0,4468,,,,,,0,,,,,0,0,,
12166712723,30.0,3306,,,,,,0,,,,,0,0,,
12158756186,30.0,2860,,,,,,0,,,,,0,0,,
12158756183,30.0,4987,,,,,,0,,,,,0,1,,
12132576982,30.0,4536,,,,,,0,,,,,0,3,,
12121516181,30.0,4192,,,,,,0,,,,,0,1,,
12121516182,30.0,3832,,,,,,0,,,,,0,1,,
12121516177,30.0,3625,,,,,,0,,,,,0,1,,
12121516008,30.0,4962,,,,,,0,,,,,0,0,,
12071978492,,591,,,,,g7385283,0,,,,,0,0,,
12069873397,30.0,2203,,,,,,0,,,,,0,0,,
12069873408,30.0,4003,,,,,,0,,,,,0,0,,
12069873415,,2143,,,,,g7385283,0,,,,,0,0,,
12032181448,30.0,3220,,,,,,0,,,,,0,2,,
12027497034,30.0,4142,,,,,,0,,,,,0,1,,
12011750543,30.0,4345,,,,,,0,,,,,0,2,,
12003844728,0.0,3043,,,,,g7385283,0,,,,,0,9,,
12003844605,30.0,2026,,,,,,0,,,,,0,0,,
11994590746,30.0,4489,,,,,,0,,,,,0,0,,
11994590724,30.0,3116,,,,,,0,,,,,0,0,,
11963595127,30.0,5896,,,,,,0,,,,,0,3,,
11955222370,30.0,3573,,,,,,0,,,,,0,1,,
11955222360,30.0,3854,,,,,,0,,,,,0,2,,
11939185186,0.0,1916,,,,,g7385283,4,,,,,5,5,,
11929142876,30.0,4954,,,,,,0,,,,,0,1,,
11928729055,30.0,2775,,,,,,0,,,,,0,0,,
11928728894,,2609,,,,,,0,,,,,0,1,,
11905884423,30.0,2944,,,,,,0,,,,,0,0,,
11905884435,,591,,,,,g7385283,0,,,,,0,1,,
11905884409,30.0,4114,,,,,,0,,,,,0,0,,
11905884411,30.0,1749,,,,,,0,,,,,0,0,,
11873154592,,611,,,,,g7385283,0,,,,,0,5,,
11873154550,30.0,4828,,,,,,0,,,,,0,1,,
11873154528,30.0,3392,,,,,,0,,,,,0,1,,
11873154534,30.0,3226,,,,,,0,,,,,0,1,,
11873154530,30.0,3986,,,,,,0,,,,,0,0,,
11823537134,,620,,,,,g7385283,0,,,,,0,4,,
11823537136,30.0,2709,,,,,,0,,,,,0,0,,
11816736950,30.0,2243,,,,,,0,,,,,0,2,,
11815437235,30.0,4083,,,,,,0,,,,,0,2,,
11798729681,30.0,1944,,,,,,0,,,,,0,0,,
11785539157,,2067,,,,,g7385283,0,,,,,0,6,,
11783442643,30.0,4431,,,,,,0,,,,,0,2,,
11756317112,,549,,,,,g7385283,0,,,,,0,4,,
11740637938,30.0,2927,,,,,,0,,,,,0,1,,
11737915866,,3632,,,,,g7385283,0,,,,,0,4,,
11676785533,,566,,,,,g7385283,0,,,,,0,6,,
11672159482,,546,,,,,g7385283,0,,,,,0,1,,
11672159461,30.0,2912,,,,,,0,,,,,0,0,,
11660862913,30.0,2161,,,,,,0,,,,,0,1,,
11660862919,30.0,4498,,,,,,0,,,,,0,0,,
11647214574,,1188,,,,,g7385283,1,,,,,2,6,,
11630781312,30.0,3930,,,,,,0,,,,,0,1,,
11622249479,0.0,1206,,,,,g7385283,0,,,,,0,4,,
11621443651,30.0,4027,,,,,,0,,,,,0,0,,
11612783596,30.0,4285,,,,,,0,,,,,0,1,,
11631797592,30.0,4859,,,,,,0,,,,,0,1,,
11597367648,30.0,4399,,,,,,0,,,,,0,0,,
11596725218,,235,,,,,g7385283,0,,,,,0,1,,
11596725008,,1340,,,,,g7385283,0,,,,,0,1,,
11596724867,,489,,,,,g7385283,0,,,,,0,0,,
11596723827,30.0,4634,,,,,,0,,,,,0,0,,
11596723966,30.0,4922,,,,,,0,,,,,0,0,,
11596724851,,1461,,,,,g7385283,0,,,,,0,1,,
11596724170,30.0,2138,,,,,,0,,,,,0,0,,
11596724312,30.0,3860,,,,,,0,,,,,0,0,,
11596724306,30.0,3258,,,,,,0,,,,,0,0,,
11596724666,,587,,,,,g7385283,0,,,,,0,0,,
11596724518,30.0,7622,,,,,,0,,,,,0,0,,
11596724657,,1512,,,,,g7385283,0,,,,,0,0,,
11596722221,30.0,3974,,,,,,0,,,,,0,0,,
10148836075,30.0,3595,,,,,,0,,,,,0,5,,
10148836446,,2789,,,,,g7385283,0,,,,,2,4,,
10148837580,30.0,3464,,,,,,0,,,,,0,0,,
10148837704,,1034,,,,,g7385283,0,,,,,0,0,,
10148838203,30.0,3506,,,,,,0,,,,,0,0,,
10148837120,30.0,2444,,,,,,0,,,,,0,1,,
10148837654,,3504,,,,,g7385283,0,,,,,0,0,,
10148837044,30.0,4182,,,,,,0,,,,,0,0,,
10148838340,,1054,,,,,g7385283,0,,,,,0,0,,
9029984836,30.0,3079,,,,,,0,,,,,0,1,,
9029985128,,1103,,,,,g7385283,0,,,,,0,1,,
9029985386,30.0,2983,,,,,,0,,,,,0,0,,
8997486996,30.0,3402,,,,,,0,,,,,0,1,,
8997488497,30.0,3243,,,,,,0,,,,,0,1,,
8997485334,30.0,2228,,,,,,0,,,,,0,1,,
8997485805,,2,,,,,g7385283,0,,,,,0,0,,
8715971971,30.0,2744,,,,,,0,,,,,0,1,,
8705546791,30.0,3683,,,,,,0,,,,,0,2,,
8698664198,30.0,2249,,,,,,0,,,,,0,1,,
8698664670,,794,,,,,g7385283,0,,,,,0,0,,
8698664942,30.0,3227,,,,,,0,,,,,0,0,,
5966844255,,587,,,,,g7385283,0,,,,,1,1,,
5961274024,30.0,2798,,,,,,0,,,,,0,1,,
5956020122,30.0,3013,,,,,,0,,,,,0,0,,
5945220320,,4631,,,,,,0,,,,,0,0,,
5944638653,,3315,,,,,,0,,,,,0,0,,
5943622283,30.0,3272,,,,,,0,,,,,0,0,,
5939188009,30.0,2787,,,,,,0,,,,,0,0,,
5934399422,30.0,1496,,,,,,0,,,,,0,0,,
4567064531,0.0,2007,,,,,g7385283,0,,,,,1,11,,
4562230672,,1018,,,,,g7385283,0,,,,,0,5,,
4555939665,0.0,1171,,,,,g7385283,0,,,,,0,9,,
4545837883,0.0,1574,,,,,g7385283,0,,,,,0,5,,
4535126558,0.0,2055,,,,,g7385283,0,,,,,1,9,,
4531521346,0.0,1158,,,,,g7385283,1,,,,,4,6,,
4526541903,0.0,3988,,,,,g7385283,2,,,,,5,8,,
4521545281,0.0,960,,,,,g7385283,0,,,,,3,5,,
4512819791,0.0,1439,,,,,g7385283,0,,,,,0,8,,
4509276462,0.0,1332,,,,,g7385283,0,,,,,0,6,,
4500647476,0.0,943,,,,,g7385283,1,,,,,3,3,,
4497908292,0.0,4185,,,,,g7385283,1,,,,,4,8,,
4488221102,0.0,1549,,,,,g7385283,0,,,,,1,4,,
4484188570,0.0,1510,,,,,g7385283,1,,,,,4,5,,
4480012498,0.0,1615,,,,,g7385283,0,,,,,1,7,,
4472443960,0.0,957,,,,,g7385283,1,,,,,5,4,,
4468787027,0.0,3537,,,,,g7385283,0,,,,,6,8,,
4459523358,0.0,1776,,,,,g7385283,0,,,,,3,5,,
4455945276,0.0,2311,,,,,g7385283,1,,,,,4,5,,
4452126001,0.0,1679,,,,,g7385283,0,,,,,1,6,,
4442922222,0.0,1649,,,,,g7385283,1,,,,,5,6,,
4439123748,0.0,2380,,,,,g7385283,0,,,,,6,4,,
4429753008,0.0,2004,,,,,g7385283,0,,,,,6,4,,
4426215592,0.0,2109,,,,,g7385283,0,,,,,5,5,,
4417971421,0.0,985,,,,,g7385283,0,,,,,4,1,,
4413564620,0.0,455,,,,,,0,,,,,0,2,,
4156053600,,1545,,,,,,0,,,,,0,1,,
16109296244,,2520,,,,,,0,,,,,0,0,,
16122028435,30.0,3330,,,,,,0,,,,,0,0,,
16131639139,30.0,3339,,,,,,0,,,,,0,0,,
16142666204,,2499,,,,,,0,,,,,0,0,,
16163438309,30.0,3182,,,,,,0,,,,,0,0,,
16172089358,30.0,2450,,,,,,0,,,,,0,0,,
16182361571,,626,190.0,207.0,187.0,118.0,g7385283,0,,,,,0,0,,
16195648238,30.0,2837,,,,,,0,14.0,,,,0,0,,
16205502682,,633,185.1,229.0,182.0,117.2,g7385283,0,8.0,,,,0,0,,
16213493132,30.0,3974,,,,,,0,11.0,,,,0,0,,
16223771124,,876,198.8,248.0,197.0,173.6,g7385283,0,12.0,,,,0,0,,
16225384738,30.0,3099,,,,,,0,10.0,,,,0,0,,
16245694688,30.0,2511,,,,,,0,11.0,,,,0,0,,
16272696136,30.0,3104,,,,,,0,7.0,,,,0,0,,
16277019441,,1210,,,,,,0,6.0,Apple Watch Series 10,,,0,0,,
16286042813,30.0,3393,,,,,,0,9.0,Apple Watch Series 10,,,0,0,,
16305320890,30.0,2556,,,,,,0,8.0,Apple Watch Series 10,,,0,0,,
16313951865,30.0,4557,,,,,,0,15.0,Apple Watch Series 10,,,0,0,,
16335370284,30.0,3388,,,,,,0,9.0,Apple Watch Series 10,,,0,0,,
