activity_id,hr_avg,hr_min,hr_max,hr_median,first_half_avg,second_half_avg,cardiac_drift,pct_over_150,pct_over_160,pct_over_170
13328257301,121.0,83,148,122,116.2,125.9,9.7,0.0,0.0,0.0
13320344832,117.3,87,146,118,107.9,126.8,18.9,0.0,0.0,0.0
13302821570,113.8,75,139,115,107.6,119.9,12.3,0.0,0.0,0.0
13291758904,115.2,81,149,120,102.1,128.4,26.3,0.0,0.0,0.0
13267203069,124.4,92,155,124,115.8,132.8,17.1,3.5,0.0,0.0
13251402166,111.0,94,131,111,110.8,111.2,0.4,0.0,0.0,0.0
13250735716,96.6,76,110,98,98.8,92.3,-6.5,0.0,0.0,0.0
13233081863,128.5,85,157,131,130.4,126.5,-4.0,5.2,0.0,0.0
13227011885,128.7,114,144,129,126.3,131.1,4.8,0.0,0.0,0.0
13226059508,124.8,101,147,124,124.8,124.9,0.2,0.0,0.0,0.0
13224152801,155.3,97,169,158,150.1,160.4,10.3,75.5,27.7,0.0
13217629227,97.6,87,111,97,95.3,98.1,2.9,0.0,0.0,0.0
13203007365,103.3,66,131,104,98.9,107.6,8.7,0.0,0.0,0.0
13169346658,122.9,82,154,124,118.6,127.2,8.6,0.9,0.0,0.0
13156584272,113.1,86,149,112,117.8,109.8,-8.0,0.0,0.0,0.0
13151479883,107.9,67,136,110,107.8,108.0,0.2,0.0,0.0,0.0
13165433251,94.9,75,127,94,94.2,95.5,1.3,0.0,0.0,0.0
13143734873,112.1,76,145,115,104.9,119.2,14.2,0.0,0.0,0.0
13136631541,127.3,88,154,127,124.7,129.9,5.2,0.7,0.0,0.0
13131239687,121.1,103,136,121,119.8,122.3,2.4,0.0,0.0,0.0
13128794570,120.2,85,154,120,119.8,120.6,0.8,0.7,0.0,0.0
13116202528,114.2,74,151,116,111.0,117.3,6.3,0.1,0.0,0.0
13103340142,127.4,106,155,127,127.3,127.6,0.3,1.1,0.0,0.0
13094247923,125.9,102,156,125,132.7,119.2,-13.5,2.6,0.0,0.0
13082014924,125.0,97,166,124,116.5,133.5,17.0,5.3,1.7,0.0
13075777766,148.2,116,162,152,141.0,155.3,14.3,53.2,2.2,0.0
13061312902,118.0,81,147,119,121.3,114.8,-6.5,0.0,0.0,0.0
13045142114,113.5,87,141,114,110.1,116.9,6.8,0.0,0.0,0.0
13042145669,116.6,91,135,117,110.8,122.3,11.5,0.0,0.0,0.0
13034175809,131.4,107,158,131,126.8,135.8,9.1,2.1,0.0,0.0
13017703249,93.0,71,111,95,87.3,95.4,8.0,0.0,0.0,0.0
12996100502,108.1,80,125,109,107.0,109.3,2.3,0.0,0.0,0.0
12990199866,112.0,84,143,113,119.8,104.5,-15.3,0.0,0.0,0.0
12983013258,117.1,75,154,116,117.8,116.3,-1.5,0.9,0.0,0.0
12955516981,106.3,77,132,109,101.0,111.6,10.6,0.0,0.0,0.0
12948214600,90.0,72,112,90,88.7,90.9,2.2,0.0,0.0,0.0
12940271400,113.9,92,146,113,117.9,110.1,-7.8,0.0,0.0,0.0
12932896416,106.9,79,142,106,106.2,107.5,1.3,0.0,0.0,0.0
12915650048,117.4,91,150,117,116.7,118.2,1.4,0.0,0.0,0.0
